Name,lat,lon,Routes
Pulaski Pink Line Station,41.853679779000004,-87.724699399,53
Archer & 34th Street,41.832565415,-87.673916661,62
Ashland & 66th Street,41.774118537,-87.664200623,9
Skokie Blvd & Madison,42.031601001,-87.747551,54A
Vincennes & Montvale,41.688248598,-87.665615181,111
Kedzie & 56th Street,41.791785157,-87.70358439700001,"52,52A"
115th Street & Aberdeen,41.684934945,-87.64950931,115
47th Street & Albany,41.808100954000004,-87.701566592,47
Belmont & Seminary,41.939799807,-87.65665745,77
Belmont & New England,41.93806,-87.79822,77
1500 E 95th Street,41.722204,-87.587951999,"N5,95,100"
4600 W Armitage,41.916927275999996,-87.741798636,73
Armitage & Lawndale,41.91719359,-87.71932438,73
47th Street & Oakley,41.80837501,-87.68210614799999,"47,48"
Lawrence & Octavia,41.967098,-87.80960299899999,81W
Pershing & Francisco,41.822679769000004,-87.697209139,39
75th Street & Exchange,41.759289979,-87.55956204799999,71
Jackson & Albany,41.877288,-87.703323001,126
Belmont & Knox,41.938805486999996,-87.74329321799999,77
Diversey & Seminary,41.9325708,-87.656466917,76
91st Street & Brandon,41.730031800999996,-87.54698928200001,"26,30"
115th Street & Lawndale,41.68401992,-87.71292126,52A
Fillmore & Austin,41.867224554,-87.774062691,91
Root & Princeton,41.818996000000006,-87.633645,43
Church & Maple,42.048401304,-87.68505817200001,"201,205"
111th Street & Union,41.692324925,-87.640054353,111
4700 W Old Orchard Rd,42.062315416,-87.744729656,201
Harrison & Washtenaw,41.873755001,-87.693779,7
75th Street & Langley,41.758479339000004,-87.607939215,75
16th Street & Rockwell,41.859252399,-87.6907968,18
Addison & Overhill,41.945169001,-87.819706001,152
87th Street & Escanaba,41.737287947,-87.55430104,87
Peterson & Lincoln,41.990280915999996,-87.70749485299999,84
Devon & Hoyne,41.997747219000004,-87.682673886,155
Kedzie & 109th Street,41.695129,-87.700871999,52A
California & Lunt,42.008364,-87.69969499999999,93
King Drive & 33rd Street,41.834949899,-87.61693353700001,"3,31"
Kedzie & 107th Street,41.698785,-87.70100500000001,52A
Oakton & Asbury,42.026828145,-87.690195554,206
Peterson & Jersey,41.990470144,-87.71078294,84
55th Street & Meade,41.792550365,-87.77438402899999,55N
87th Street & Longwood,41.735722828,-87.675874258,"87,95"
63rd Street & Mayfield,41.777972349,-87.768899301,63W
Congress & Hamlin/Independence,41.874509487,-87.71961416799999,"7,126"
87th Street & Hamlin,41.735036014,-87.71645347,87
North Ave & Leavitt,41.910496882,-87.682227695,72
79th Street & Cottage Grove,41.751356901,-87.60505166899999,79
71st Street & Stony Island,41.766197,-87.58570300000001,71
Jackson & Lavergne,41.876803929,-87.749340284,126
Irving Park & Neenah,41.952915339,-87.790762859,80
California & Harrison,41.873692818,-87.696002125,94
California & Harrison,41.87358674,-87.696180959,94
California & Roosevelt,41.866349781,-87.69578135200001,94
65th Street & Lavergne,41.7747378,-87.746835415,165
59th Street & Central Park,41.786167255,-87.712718705,59
51st Street & Evans,41.802288138,-87.60785102,15
Irving Park & Hermitage,41.954352756999995,-87.67208942200001,80
Ewing & 94th Street,41.724798024,-87.538189928,"26,30"
9320 S Ewing,41.726644596999996,-87.540050522,"26,30"
Racine & 64th Street,41.777731,-87.654353,44
Langley & 132nd Street,41.655717892,-87.605069215,34
Wentworth & 23rd Street,41.851087,-87.63202199999999,24
Cermak & Loomis,41.852493552,-87.661385816,21
Cermak & Morgan,41.852502,-87.65149100000001,21
Addison & Western,41.946659899000004,-87.68847434,152
Chicago & Hamlin,41.895339796,-87.72091557,66
111th Street & Campbell,41.691708001,-87.683757999,112
Madison & St. Louis,41.880813878000005,-87.713819635,20
Armitage & Kilpatrick,41.916901001,-87.743792,73
Acacia Park Cemetery,41.952287885,-87.82371560700001,80
Golf Road & Hamlin,42.05521183,-87.72279170700001,205
Madison & Kenton,41.880475,-87.740705,20
111th Street & Vernon,41.692670464,-87.612262926,"4,111A,115"
79th Street & Colfax,41.751740708,-87.561192923,79
Belmont & Mason,41.938406645,-87.774710555,77
Belmont & Lamon,41.938738244,-87.74904333,77
Belmont & Kenosha,41.938931014,-87.734161534,77
Halsted & 79th Street Terminal,41.749804125,-87.643701835,"8,8A"
Central Street & Walnut,42.064477312,-87.7046645,"201,206"
North Ave & Meade,41.909295755,-87.777470045,72
Foster & Washtenaw,41.975914988,-87.69635994,92
Monterey & Hermosa,41.690829149,-87.666717064,112
Monterey & Hale,41.691995338000005,-87.670439394,112
61st Street & Langley,41.784070461,-87.60837788799999,"N4,59"
3000 W 103rd Street,41.706351921999996,-87.696270808,103
Belmont & Washtenaw,41.939492316999996,-87.695063406,77
59th Street & Laflin,41.786848834000004,-87.661764694,59
103rd Street & Indiana,41.707303261,-87.61852818700001,"34,106"
Belmont & Paulina,41.939724491999996,-87.671003185,77
51st Street & Wentworth,41.8019,-87.630189999,15
31st Street & Canal,41.838224196,-87.637666423,31
87th Street & Morgan,41.73610083,-87.648837766,"24,87"
Wacker & State,41.887026842,-87.62814440700001,"134,135,136"
Montrose & Menard,41.960479388,-87.77200467899999,78
Pulaski & Wellington,41.935264878000005,-87.727206521,53
Kedzie & 36th Street,41.828170035999996,-87.704650735,52
Milwaukee & Berteau,41.956977916,-87.751144436,56
Halsted & 83rd Street,41.743515,-87.643883,8A
Racine & 51st Street,41.801500001,-87.655104001,44
State & 43rd Street,41.81659818,-87.62639712100001,29
California & Madison,41.880891005,-87.69637461200001,94
King Drive & 63rd Street,41.779958468000004,-87.61569366100001,3
Clinton & Madison,41.881976001,-87.641266999,"128,132,192"
Irving Park & Lamon,41.953307751,-87.749948753,80
Garfield & Racine,41.79375704,-87.654463797,55
Madison & Lockwood,41.88025187,-87.757789648,20
Harlem & Diversey,41.930994463000005,-87.80641009200001,90
Austin & Wellington,41.935060744,-87.776026714,91
Ashland & 57th Street,41.790252989,-87.66434247,9
Racine & 76th Street,41.756519464,-87.65378542399999,"44,75"
North Ave & Hamlin,41.90988,-87.721763,72
Jackson & Central Park,41.877141824,-87.71547719899999,126
Irving Park & Damen/Lincoln,41.954049517,-87.67887969600001,80
63rd Street & Keeler,41.778549,-87.727742,63
119th Street & Loomis,41.677540293,-87.65658841,119
Addison & Narragansett,41.94560324,-87.785951149,152
Dearborn & Monroe,41.880948,-87.629285,"22,24,36,62,151"
Halsted & Armitage,41.918077446999995,-87.64841954799999,8
79th Street & Wood,41.750241261,-87.668327261,79
35th Street & Damen,41.830338001,-87.675436999,35
Polk & Damen,41.871421387,-87.676633493,157
79th Street & Indiana,41.750984386,-87.619874203,79
111th Street & Michigan,41.692539521,-87.62122408200001,111
Madison & Menard,41.880087764,-87.76992190799999,20
87th Street & Morgan,41.7358845,-87.64808512200001,"24,87"
51st Street & King Drive,41.802038764,-87.615741315,15
S. Shore Drive & 79th Street,41.752234038000005,-87.548232429,"N5,6,26,71"
47th Street & Wallace,41.808873749,-87.640817612,47
71st Street & King Drive,41.76563,-87.615479999,71
111th Street & Indiana,41.69257126,-87.61840705,111
Morse & Sheridan,42.007902627,-87.66177917600001,155
Homan & Grand,41.900274544,-87.71154688799999,82
Cottage Grove & 60th Street,41.785736785,-87.60593410799999,4
Ashland & Webster,41.921360432,-87.668471023,9
LaSalle & Huron,41.894842486,-87.63257579399999,156
Sedgwick & North Avenue,41.910960736999996,-87.63851320200001,37
92nd Street & Baltimore,41.728184180999996,-87.548627037,95
79th Street & Kilpatrick,41.749111071,-87.73722716299999,79
Fullerton & Kilpatrick,41.924143016,-87.743973626,74
Taylor & Throop,41.869314248,-87.659293654,157
Jackson & Karlov,41.877006596,-87.72780787100001,126
Foster & Monticello,41.975526,-87.71978,92
Ashland & Cermak/Blue Island,41.852483676,-87.66617293,"9,X9"
Clark & Albion,42.001785039,-87.67198064700001,22
Clark & Burton,41.909496999999995,-87.63171899999999,"22,36"
Ridge & Broadway/Bryn Mawr,41.983932,-87.66044699999999,84
Lincoln & Berwyn,41.977713,-87.692578001,11
California & Devon,41.99764619,-87.69972827,93
Halsted & 115th Street,41.685192786,-87.642279285,"8A,108"
Racine & 60th Street,41.785137359000004,-87.654694881,44
Racine & 68th Street,41.77057756,-87.654342005,44
Michigan & 110th Street,41.6945046,-87.62086381600001,"34,119"
Cicero & Iowa,41.896936001,-87.745910001,54
Archer & Major,41.795441078,-87.764645953,"62,62H"
Broadway & Surf,41.934928293,-87.64431033700001,36
Northwest Hwy & Overhill,42.004327362,-87.818709079,68
Northwest Hwy & Niagara,41.993399635,-87.8008397,68
Cicero & Pershing,41.821795531,-87.743693276,54B
King Drive & 90th Street,41.73096625,-87.61445367299999,3
Jefferson Park Transit Center,41.969849265,-87.76185024700001,81
S. Shore Drive & 77th Street,41.756895468,-87.55339915299999,"N5,6,26,71"
Broadway & Cullom,41.960081,-87.654145,36
Wentworth & Cermak,41.85269836,-87.631918092,24
Irving Park & Keystone (Blue Line),41.95374569,-87.72903943899999,80
67th Street & East End,41.773418424,-87.583830455,"N5,6,15,67"
Jackson & Campbell,41.877590708,-87.688684667,126
47th Street & Albany,41.808222888,-87.701404831,47
Congress & Karlov,41.874398682,-87.72774701,7
Madison & Peoria,41.8818,-87.649477,20
Lawrence & Menard,41.967760999999996,-87.772711,"81W,91"
71st Street & Spaulding,41.764399001,-87.70520000100001,67
Roosevelt & May,41.86711341,-87.654991111,12
Lawrence & Prospect,41.966765166,-87.83101847399999,81W
43rd Street & Cottage Grove,41.816881724,-87.606574716,43
87th Street & Albany,41.735377695,-87.699600335,87
131st Street & Rhodes,41.657499,-87.609600999,34
4600 W Armitage,41.917050437,-87.741836725,73
Central Street & Ridge,42.064170000000004,-87.68329,201
Lawrence & Major,41.967801,-87.77006899999999,"81W,91"
State & Huron,41.895007,-87.628241,36
Addison & Melvina,41.945754585,-87.781228293,152
Belmont & Central Park,41.939275529,-87.71726747,77
Chicago & Hamlin,41.895488072,-87.721349843,66
Addison & California,41.946744688,-87.69785557700001,152
51st Street & Indiana,41.802103474,-87.62093294600001,15
Cermak & Archer,41.852940792,-87.63427350100001,21
35th Street & Michigan,41.831099729,-87.623699927,35
Roosevelt & Keeler,41.866184359,-87.72995235399999,12
Belmont & Central,41.938639894,-87.766776659,77
Grand & Menard,41.919756645,-87.770913083,65
Cermak & Throop,41.85250609,-87.65859157700001,21
127th Street & Michigan,41.663544454000004,-87.61978426600001,"34,108"
Montrose & Oakley,41.961397999999996,-87.686301,78
Grand & Wood,41.890986699,-87.67186200200001,65
51st Street & King Drive,41.802163603000004,-87.616823307,15
59th Street & Sacramento,41.786385212,-87.69833257399999,59
Chicago & Ashland,41.896151408,-87.66707916,66
Halsted & Lincoln/Fullerton,41.925718774,-87.648676938,8
Pulaski & Addison,41.946187591,-87.727492169,53
Stony Island & 63rd Street,41.780472246,-87.58635116399999,"6,15,28"
Damen & 83rd Street,41.742807,-87.672839001,48
Halsted & 107th Street,41.699352421,-87.642743084,"8A,108"
Ashland & 43rd Street,41.815921225,-87.665232678,"9,X9"
Ashland & Wrightwood,41.928849487,-87.668406012,9
King Drive & 65th Street,41.776388,-87.61562000100001,3
Northwest Hwy & Oliphant,42.002731581999996,-87.81601157899999,68
Archer & Sacramento,41.816914198,-87.699442696,62
Wells & Jackson,41.878194,-87.63379300000001,37
Torrence & 106th Street,41.702847112,-87.55970671899999,71
83rd Street & Vincennes,41.743987428000004,-87.635670389,24
83rd Street & Holland,41.743477686999995,-87.63233925899999,24
8400 S Holland,41.741442044,-87.632118589,24
8500 S Holland,41.739098555,-87.632075503,24
8501 S Holland,41.739340221999996,-87.631830084,24
8401 S Holland,41.741216233,-87.63190363,24
83rd Street & Holland,41.743602921,-87.63251207,24
Damen & 59th Street,41.786725002,-87.674201826,48
55th Street & Kilpatrick,41.792944086,-87.73991155600001,55
75th Street & Lafayette,41.758046,-87.626593,75
51st Street & Cottage Grove,41.802190554,-87.60657937799999,15
87th Red Line Station,41.736161296999995,-87.624829279,87
43rd Street & Drexel,41.816776236,-87.603859169,43
Austin & Division,41.901899121999996,-87.77526960200001,91
Narragansett & Wrightwood,41.9273,-87.785489,86
Ridge & Glenwood,41.986659,-87.66492700100001,84
Kedzie & Touhy,42.011972223,-87.709142011,11
Avenue O & 134th Street,41.651894468,-87.539973247,30
LaSalle & Kinzie,41.889375625,-87.63236867399999,156
Ashland & Polk,41.871475089,-87.66667512299999,9
Cicero & Grand,41.914171597,-87.746133141,54
Western & Jarvis,42.015589833,-87.69013526100001,49B
Ashland & Cortland,41.916303961,-87.66793248,"9,X9"
Van Buren & Canal,41.876827481,-87.639380457,37
Irving Park & Oak Park,41.952809841,-87.796099204,80
Fullerton & Narragansett,41.923788858,-87.785284501,74
Division & Wells,41.903916906,-87.634920313,70
Madison & Sacramento,41.881088001,-87.701062001,20
North Ave & Long,41.909379,-87.761029001,72
Montrose & California,41.961194749,-87.698010896,78
Lawrence & Leclaire,41.96783793,-87.75514647,81
111th Street & Kedzie,41.69149952,-87.70096610799999,112
115th Street & Racine,41.684891164,-87.65196365799999,115
Chicago & Paulina,41.895951851999996,-87.669406917,66
Fullerton & Central,41.923873895999996,-87.765741604,74
Fullerton & Menard,41.923821495,-87.77095686,74
Grand & Narragansett,41.922446004,-87.78504053399999,65
79th Street & Pulaski,41.749396378,-87.721499666,"79,169"
Montrose & Long,41.96048,-87.762416,78
Garfield & King Drive,41.794412345,-87.616152395,55
Chicago & Rockwell,41.895616833000005,-87.69155691899999,66
Devon & Kedzie Terminal,41.99786612,-87.709526631,96
Pulaski & Bryn Mawr,41.982663961,-87.728528072,53
Milwaukee & Ashland (Blue Line),41.904029468000004,-87.667679228,56
North Ave & Lawndale,41.910094527,-87.71885412700001,72
North Ave & Wells,41.911186583,-87.634527366,"N9,72"
Cermak & Leavitt,41.852159739,-87.681153471,21
Diversey & Kilpatrick,41.931629576999995,-87.74401578700001,76
Damen & 83rd Street,41.742972379,-87.673049856,48
Milwaukee & Fullerton,41.924607519,-87.70030321700001,56
Ashland & 49th Street,41.805040559,-87.66499627700001,9
Archer & Lockwood,41.796956583000004,-87.75497022100001,"62,62H"
Armitage & Clark,41.918368308000005,-87.63626476299999,73
Belmont & Southport,41.939696781,-87.66399780200001,77
Belmont & Kostner,41.938891625,-87.737144676,77
87th Street & Stony Island (Nearside),41.736839192,-87.58580435799999,87
Avenue O & 116th Street,41.684709405999996,-87.539996659,30
Damen & Webster,41.9213,-87.677703001,50
LaSalle & Pershing,41.823952086999995,-87.62956819799999,"24,39"
47th Street & Halsted,41.808792067,-87.645697467,47
63rd Street & St. Louis,41.778892,-87.710132999,63
Montrose & Hamlin,41.961073854,-87.722825731,78
Addison & Pulaski,41.94643977,-87.72726221799999,152
North Ave & Sedgwick (Brown Line),41.911223107,-87.638419085,"N9,72"
63rd Street & Wentworth,41.780052023,-87.62998054200001,63
87th Street & Commercial,41.737443247,-87.551725754,87
Harrison & Halsted,41.874441001,-87.64775,"7,60,755"
Irving Park & Hamlin,41.95381454,-87.72255106200001,80
Cortland & Southport,41.917095,-87.66289000100001,73
Montrose & Ashland,41.96165552,-87.669587736,78
36th Street & Kedzie,41.828139531,-87.704365153,35
Madison & Western,41.881235,-87.686193,20
Armitage & Kedzie,41.917465985,-87.706788336,73
103rd Street & State,41.707234101,-87.62338393799999,103
103rd Street & Wood,41.706657506999996,-87.66701617700001,103
Higgins & Harlem,41.981294682,-87.807411802,90
State & Roosevelt,41.867593766999995,-87.627535851,"29,62"
Michigan & Cullerton,41.855340559,-87.623992666,"1,3,4"
Ashland & 76th Street,41.75592748,-87.663703529,9
Kedzie & Archer,41.813821329,-87.70429525799999,52
State & 18th Street,41.857537048000005,-87.627336398,"29,62"
Narragansett & Diversey,41.930830586999996,-87.78577606,86
Racine & Marquette Rd,41.772435637,-87.65439757,44
Ashland & Wellington,41.935957908,-87.668629684,9
Broadway & Hollywood,41.985508,-87.660240999,36
Damen & Archer,41.831917884,-87.675396472,50
Wacker (Upper) & Wabash,41.887544036,-87.626486947,"2,6,10,134,135,136,146,148"
King Drive & 26th Street,41.845454761,-87.617768107,3
87th Street & Dorchester,41.736912,-87.590098001,87
Wentworth & Marquette Rd,41.772583514000004,-87.629868817,24
Broadway & Wilson,41.965591241999995,-87.657475423,36
Vincennes & 75th Street/Yale,41.758213005,-87.63147531,24
King Drive & 79th Street,41.750920812,-87.61503894299999,3
Belmont & Western/Clybourn,41.939387554,-87.68763835899999,77
Broadway & Addison,41.947014091999996,-87.647152294,36
Western & 69th Street,41.768452161,-87.683494715,"49,X49"
Addison & Central,41.945815962,-87.766525361,152
Garfield Red Line Station,41.794115455,-87.63104441899999,"24,55"
Clinton & Washington,41.883314001,-87.641313,"125,130"
Ogden & Sacramento,41.85921125,-87.70113114899999,18
Ashland & 49th Street,41.805071341,-87.66474943899999,9
Grand & Hamlin,41.904188212,-87.721594415,65
Roosevelt & Blue Island,41.86693795,-87.653605289,12
